age, workclass, native-country, sex, race, marital-status, income
[23 - 39], [12 - 13], [0 - 2174], 0, [40 - 56], gov, United-States, Male, White, Not-in-family, Other, Never-married, <=50K
[33 - 45], [13 - 15], 0, 0, [40 - 65], Private, United-States, Male, White, Husband, Prof-specialty, Married-civ-spouse, <=50K
[30 - 56], [7 - 9], 0, [0 - 1887], [40 - 50], self, Non-US, Male, White, Husband, Other-service, Married-civ-spouse, >50K
[30 - 56], [7 - 9], 0, [0 - 1887], [40 - 50], self, Non-US, Male, White, Husband, Other-service, Married-civ-spouse, <=50K
[30 - 56], [7 - 9], 0, [0 - 1887], [40 - 50], self, Non-US, Male, White, Husband, Other-service, Married-civ-spouse, <=50K
[50 - 56], [9 - 13], 0, 0, [50 - 55], Self-emp-inc, United-States, Male, White, Husband, Sales, Married-civ-spouse, <=50K
[50 - 56], [9 - 13], 0, 0, [50 - 55], Self-emp-inc, United-States, Male, White, Husband, Sales, Married-civ-spouse, <=50K
[50 - 56], [9 - 13], 0, 0, [50 - 55], Self-emp-inc, United-States, Male, White, Husband, Sales, Married-civ-spouse, >50K
[40 - 64], [9 - 13], 0, 0, [40 - 60], Private, United-States, Male, White, Husband, Exec-managerial, Married-civ-spouse, <=50K
[40 - 64], [9 - 13], 0, 0, [40 - 60], Private, United-States, Male, White, Husband, Exec-managerial, Married-civ-spouse, >50K
[40 - 64], [9 - 13], 0, 0, [40 - 60], Private, United-States, Male, White, Husband, Exec-managerial, Married-civ-spouse, >50K
[21 - 30], [7 - 13], 0, 0, 40, Private, *, Male, Black, Own-child, *, Never-married, <=50K
[21 - 30], [7 - 13], 0, 0, 40, Private, *, Male, Black, Own-child, *, Never-married, <=50K
[21 - 30], [7 - 13], 0, 0, 40, Private, *, Male, Black, Own-child, *, Never-married, <=50K
[22 - 28], [12 - 13], 0, 0, [15 - 60], Private, United-States, Female, White, Not-in-family, Sales, Never-married, <=50K
[22 - 28], [12 - 13], 0, 0, [15 - 60], Private, United-States, Female, White, Not-in-family, Sales, Never-married, <=50K
[22 - 28], [12 - 13], 0, 0, [15 - 60], Private, United-States, Female, White, Not-in-family, Sales, Never-married, <=50K
[23 - 32], 9, 0, [0 - 1762], [25 - 40], Private, United-States, Female, White, Not-in-family, Other-service, Never-married, <=50K
[23 - 32], 9, 0, [0 - 1762], [25 - 40], Private, United-States, Female, White, Not-in-family, Other-service, Never-married, <=50K
[23 - 32], 9, 0, [0 - 1762], [25 - 40], Private, United-States, Female, White, Not-in-family, Other-service, Never-married, <=50K
[38 - 76], [9 - 14], [0 - 4386], 0, [10 - 60], Self-emp-not-inc, United-States, Male, White, Husband, Craft-repair, Married-civ-spouse, <=50K
[38 - 76], [9 - 14], [0 - 4386], 0, [10 - 60], Self-emp-not-inc, United-States, Male, White, Husband, Craft-repair, Married-civ-spouse, <=50K
[38 - 76], [9 - 14], [0 - 4386], 0, [10 - 60], Self-emp-not-inc, United-States, Male, White, Husband, Craft-repair, Married-civ-spouse, <=50K
[20 - 22], 10, 0, 0, [15 - 45], Private, United-States, Male, White, Own-child, Sales, Never-married, <=50K
[20 - 22], 10, 0, 0, [15 - 45], Private, United-States, Male, White, Own-child, Sales, Never-married, <=50K
[20 - 22], 10, 0, 0, [15 - 45], Private, United-States, Male, White, Own-child, Sales, Never-married, <=50K
[40 - 60], [9 - 11], 0, 0, 40, Private, United-States, Male, Asian-Pac-Islander, Husband, Technical, Married-civ-spouse, >50K
[40 - 60], [9 - 11], 0, 0, 40, Private, United-States, Male, Asian-Pac-Islander, Husband, Technical, Married-civ-spouse, <=50K
[40 - 60], [9 - 11], 0, 0, 40, Private, United-States, Male, Asian-Pac-Islander, Husband, Technical, Married-civ-spouse, >50K
[27 - 48], [9 - 13], 0, 0, [30 - 40], Private, United-States, Female, Black, Unmarried, *, Never-married, <=50K
[27 - 48], [9 - 13], 0, 0, [30 - 40], Private, United-States, Female, Black, Unmarried, *, Never-married, <=50K
[27 - 48], [9 - 13], 0, 0, [30 - 40], Private, United-States, Female, Black, Unmarried, *, Never-married, <=50K
[22 - 59], [9 - 10], 0, 0, [24 - 40], Private, United-States, Male, White, Husband, Other-service, Married-civ-spouse, <=50K
[22 - 59], [9 - 10], 0, 0, [24 - 40], Private, United-States, Male, White, Husband, Other-service, Married-civ-spouse, <=50K
[22 - 59], [9 - 10], 0, 0, [24 - 40], Private, United-States, Male, White, Husband, Other-service, Married-civ-spouse, >50K
[36 - 72], [7 - 9], 0, 0, [24 - 40], Private, United-States, Female, White, Unmarried, Other, Widowed, <=50K
[36 - 72], [7 - 9], 0, 0, [24 - 40], Private, United-States, Female, White, Unmarried, Other, Widowed, <=50K
[36 - 72], [7 - 9], 0, 0, [24 - 40], Private, United-States, Female, White, Unmarried, Other, Widowed, <=50K
[31 - 47], [9 - 13], 0, 0, [35 - 40], Local-gov, *, Female, White, Unmarried, Adm-clerical, Divorced, <=50K
[31 - 47], [9 - 13], 0, 0, [35 - 40], Local-gov, *, Female, White, Unmarried, Adm-clerical, Divorced, <=50K
[31 - 47], [9 - 13], 0, 0, [35 - 40], Local-gov, *, Female, White, Unmarried, Adm-clerical, Divorced, <=50K
[22 - 33], [9 - 13], 0, 0, [40 - 50], Private, Non-US, *, Asian-Pac-Islander, *, Nontechnical, Never-married, <=50K
[22 - 33], [9 - 13], 0, 0, [40 - 50], Private, Non-US, *, Asian-Pac-Islander, *, Nontechnical, Never-married, <=50K
[22 - 33], [9 - 13], 0, 0, [40 - 50], Private, Non-US, *, Asian-Pac-Islander, *, Nontechnical, Never-married, <=50K
[26 - 48], [7 - 9], 0, 0, [40 - 46], Private, United-States, Male, White, Husband, Craft-repair, Married-civ-spouse, <=50K
[26 - 48], [7 - 9], 0, 0, [40 - 46], Private, United-States, Male, White, Husband, Craft-repair, Married-civ-spouse, >50K
[26 - 48], [7 - 9], 0, 0, [40 - 46], Private, United-States, Male, White, Husband, Craft-repair, Married-civ-spouse, <=50K
[23 - 71], [9 - 10], 0, [0 - 1816], [2 - 40], *, United-States, Male, Black, *, Nontechnical, Separated, <=50K
[23 - 71], [9 - 10], 0, [0 - 1816], [2 - 40], *, United-States, Male, Black, *, Nontechnical, Separated, <=50K
[23 - 71], [9 - 10], 0, [0 - 1816], [2 - 40], *, United-States, Male, Black, *, Nontechnical, Separated, <=50K
[22 - 42], [10 - 13], [0 - 7298], 0, [20 - 50], Private, United-States, Male, Black, *, Other-service, *, <=50K
[22 - 42], [10 - 13], [0 - 7298], 0, [20 - 50], Private, United-States, Male, Black, *, Other-service, *, <=50K
[22 - 42], [10 - 13], [0 - 7298], 0, [20 - 50], Private, United-States, Male, Black, *, Other-service, *, >50K
[19 - 25], 9, 0, 0, [35 - 40], Private, United-States, Female, White, *, Other-service, Never-married, <=50K
[19 - 25], 9, 0, 0, [35 - 40], Private, United-States, Female, White, *, Other-service, Never-married, <=50K
[19 - 25], 9, 0, 0, [35 - 40], Private, United-States, Female, White, *, Other-service, Never-married, <=50K
[36 - 44], [6 - 14], 0, 0, [38 - 40], self, United-States, Female, *, Unmarried, Nontechnical, Divorced, <=50K
[36 - 44], [6 - 14], 0, 0, [38 - 40], self, United-States, Female, *, Unmarried, Nontechnical, Divorced, <=50K
[36 - 44], [6 - 14], 0, 0, [38 - 40], self, United-States, Female, *, Unmarried, Nontechnical, Divorced, <=50K
[46 - 65], [7 - 14], 0, [0 - 653], [40 - 42], *, United-States, Male, *, Unmarried, Other, Widowed, <=50K
[46 - 65], [7 - 14], 0, [0 - 653], [40 - 42], *, United-States, Male, *, Unmarried, Other, Widowed, >50K
[46 - 65], [7 - 14], 0, [0 - 653], [40 - 42], *, United-States, Male, *, Unmarried, Other, Widowed, <=50K
[33 - 66], [11 - 13], 0, 0, [20 - 48], Local-gov, United-States, Female, White, Not-in-family, Prof-specialty, *, <=50K
[33 - 66], [11 - 13], 0, 0, [20 - 48], Local-gov, United-States, Female, White, Not-in-family, Prof-specialty, *, <=50K
[33 - 66], [11 - 13], 0, 0, [20 - 48], Local-gov, United-States, Female, White, Not-in-family, Prof-specialty, *, <=50K
[17 - 47], [5 - 11], 0, [0 - 1980], [6 - 40], Private, United-States, Male, White, Not-in-family, Other-service, Never-married, <=50K
[17 - 47], [5 - 11], 0, [0 - 1980], [6 - 40], Private, United-States, Male, White, Not-in-family, Other-service, Never-married, <=50K
[17 - 47], [5 - 11], 0, [0 - 1980], [6 - 40], Private, United-States, Male, White, Not-in-family, Other-service, Never-married, <=50K
[24 - 36], [9 - 12], [0 - 7298], 0, [40 - 50], State-gov, United-States, Male, White, Husband, Protective-serv, Married-civ-spouse, <=50K
[24 - 36], [9 - 12], [0 - 7298], 0, [40 - 50], State-gov, United-States, Male, White, Husband, Protective-serv, Married-civ-spouse, <=50K
[24 - 36], [9 - 12], [0 - 7298], 0, [40 - 50], State-gov, United-States, Male, White, Husband, Protective-serv, Married-civ-spouse, >50K
[45 - 59], [9 - 10], [0 - 4064], [0 - 1977], [40 - 60], Private, United-States, Male, White, Husband, Sales, Married-civ-spouse, >50K
[45 - 59], [9 - 10], [0 - 4064], [0 - 1977], [40 - 60], Private, United-States, Male, White, Husband, Sales, Married-civ-spouse, <=50K
[45 - 59], [9 - 10], [0 - 4064], [0 - 1977], [40 - 60], Private, United-States, Male, White, Husband, Sales, Married-civ-spouse, <=50K
[27 - 45], [9 - 10], 0, 0, [25 - 40], Private, United-States, Female, White, Unmarried, Nontechnical, *, <=50K
[27 - 45], [9 - 10], 0, 0, [25 - 40], Private, United-States, Female, White, Unmarried, Nontechnical, *, <=50K
[27 - 45], [9 - 10], 0, 0, [25 - 40], Private, United-States, Female, White, Unmarried, Nontechnical, *, <=50K
[17 - 18], [5 - 9], [0 - 1055], 0, [12 - 24], Private, United-States, Male, White, Own-child, Other-service, Never-married, <=50K
[17 - 18], [5 - 9], [0 - 1055], 0, [12 - 24], Private, United-States, Male, White, Own-child, Other-service, Never-married, <=50K
[17 - 18], [5 - 9], [0 - 1055], 0, [12 - 24], Private, United-States, Male, White, Own-child, Other-service, Never-married, <=50K
[38 - 50], [9 - 14], 0, 0, [38 - 70], Local-gov, United-States, Male, *, Husband, Exec-managerial, Married-civ-spouse, >50K
[38 - 50], [9 - 14], 0, 0, [38 - 70], Local-gov, United-States, Male, *, Husband, Exec-managerial, Married-civ-spouse, >50K
[38 - 50], [9 - 14], 0, 0, [38 - 70], Local-gov, United-States, Male, *, Husband, Exec-managerial, Married-civ-spouse, >50K
[30 - 44], [9 - 10], 0, 0, [40 - 45], Private, United-States, Male, Black, Not-in-family, Craft-repair, Never-married, <=50K
[30 - 44], [9 - 10], 0, 0, [40 - 45], Private, United-States, Male, Black, Not-in-family, Craft-repair, Never-married, <=50K
[30 - 44], [9 - 10], 0, 0, [40 - 45], Private, United-States, Male, Black, Not-in-family, Craft-repair, Never-married, <=50K
[34 - 54], 9, 0, 0, [20 - 40], Private, United-States, Male, Black, Husband, Other, Married-civ-spouse, <=50K
[34 - 54], 9, 0, 0, [20 - 40], Private, United-States, Male, Black, Husband, Other, Married-civ-spouse, <=50K
[34 - 54], 9, 0, 0, [20 - 40], Private, United-States, Male, Black, Husband, Other, Married-civ-spouse, <=50K
[34 - 57], [9 - 13], 0, 0, [40 - 45], self, United-States, Female, White, Not-in-family, Exec-managerial, Divorced, <=50K
[34 - 57], [9 - 13], 0, 0, [40 - 45], self, United-States, Female, White, Not-in-family, Exec-managerial, Divorced, >50K
[34 - 57], [9 - 13], 0, 0, [40 - 45], self, United-States, Female, White, Not-in-family, Exec-managerial, Divorced, <=50K
[31 - 43], [10 - 15], 0, [0 - 1887], [40 - 50], Private, United-States, Female, White, Wife, Prof-specialty, Married-civ-spouse, <=50K
[31 - 43], [10 - 15], 0, [0 - 1887], [40 - 50], Private, United-States, Female, White, Wife, Prof-specialty, Married-civ-spouse, >50K
[31 - 43], [10 - 15], 0, [0 - 1887], [40 - 50], Private, United-States, Female, White, Wife, Prof-specialty, Married-civ-spouse, >50K
[43 - 58], [13 - 16], 0, 0, [1 - 50], State-gov, United-States, Male, White, Husband, Prof-specialty, Married-civ-spouse, >50K
[43 - 58], [13 - 16], 0, 0, [1 - 50], State-gov, United-States, Male, White, Husband, Prof-specialty, Married-civ-spouse, <=50K
[43 - 58], [13 - 16], 0, 0, [1 - 50], State-gov, United-States, Male, White, Husband, Prof-specialty, Married-civ-spouse, <=50K
[20 - 35], [9 - 10], 0, 0, 40, Private, United-States, Male, White, Husband, Machine-op-inspct, Married-civ-spouse, <=50K
[20 - 35], [9 - 10], 0, 0, 40, Private, United-States, Male, White, Husband, Machine-op-inspct, Married-civ-spouse, <=50K
[20 - 35], [9 - 10], 0, 0, 40, Private, United-States, Male, White, Husband, Machine-op-inspct, Married-civ-spouse, <=50K
[30 - 41], [12 - 13], 0, [0 - 1977], [24 - 60], *, United-States, Male, White, Husband, Tech-support, Married-civ-spouse, <=50K
[30 - 41], [12 - 13], 0, [0 - 1977], [24 - 60], *, United-States, Male, White, Husband, Tech-support, Married-civ-spouse, >50K
[30 - 41], [12 - 13], 0, [0 - 1977], [24 - 60], *, United-States, Male, White, Husband, Tech-support, Married-civ-spouse, >50K
[17 - 32], [3 - 13], 0, 0, [40 - 48], Private, Non-US, Male, White, Other-relative, Other, *, <=50K
[17 - 32], [3 - 13], 0, 0, [40 - 48], Private, Non-US, Male, White, Other-relative, Other, *, >50K
[17 - 32], [3 - 13], 0, 0, [40 - 48], Private, Non-US, Male, White, Other-relative, Other, *, <=50K
[35 - 38], [9 - 10], 0, [0 - 1741], [40 - 60], Private, United-States, Male, White, Not-in-family, Craft-repair, Divorced, <=50K
[35 - 38], [9 - 10], 0, [0 - 1741], [40 - 60], Private, United-States, Male, White, Not-in-family, Craft-repair, Divorced, <=50K
[35 - 38], [9 - 10], 0, [0 - 1741], [40 - 60], Private, United-States, Male, White, Not-in-family, Craft-repair, Divorced, <=50K
[25 - 40], [10 - 14], [0 - 14084], 0, [40 - 55], *, United-States, Female, White, Not-in-family, Exec-managerial, Never-married, >50K
[25 - 40], [10 - 14], [0 - 14084], 0, [40 - 55], *, United-States, Female, White, Not-in-family, Exec-managerial, Never-married, <=50K
[25 - 40], [10 - 14], [0 - 14084], 0, [40 - 55], *, United-States, Female, White, Not-in-family, Exec-managerial, Never-married, <=50K
[34 - 45], [9 - 13], 0, 0, [35 - 40], gov, United-States, Female, White, Unmarried, *, Divorced, <=50K
[34 - 45], [9 - 13], 0, 0, [35 - 40], gov, United-States, Female, White, Unmarried, *, Divorced, <=50K
[34 - 45], [9 - 13], 0, 0, [35 - 40], gov, United-States, Female, White, Unmarried, *, Divorced, <=50K
[17 - 18], [7 - 9], 0, 0, [12 - 40], Private, United-States, Female, White, Own-child, Sales, Never-married, <=50K
[17 - 18], [7 - 9], 0, 0, [12 - 40], Private, United-States, Female, White, Own-child, Sales, Never-married, <=50K
[17 - 18], [7 - 9], 0, 0, [12 - 40], Private, United-States, Female, White, Own-child, Sales, Never-married, <=50K
[28 - 58], [9 - 10], [0 - 15024], 0, [35 - 40], self, United-States, Female, White, Wife, Sales, Married-civ-spouse, >50K
[28 - 58], [9 - 10], [0 - 15024], 0, [35 - 40], self, United-States, Female, White, Wife, Sales, Married-civ-spouse, >50K
[28 - 58], [9 - 10], [0 - 15024], 0, [35 - 40], self, United-States, Female, White, Wife, Sales, Married-civ-spouse, <=50K
[21 - 35], 10, 0, 0, [20 - 40], Private, United-States, Female, *, Not-in-family, *, Never-married, <=50K
[21 - 35], 10, 0, 0, [20 - 40], Private, United-States, Female, *, Not-in-family, *, Never-married, <=50K
[21 - 35], 10, 0, 0, [20 - 40], Private, United-States, Female, *, Not-in-family, *, Never-married, <=50K
[27 - 54], [4 - 9], 0, 0, 40, self, United-States, Male, White, Husband, Machine-op-inspct, Married-civ-spouse, >50K
[27 - 54], [4 - 9], 0, 0, 40, self, United-States, Male, White, Husband, Machine-op-inspct, Married-civ-spouse, <=50K
[27 - 54], [4 - 9], 0, 0, 40, self, United-States, Male, White, Husband, Machine-op-inspct, Married-civ-spouse, >50K
[24 - 90], [9 - 13], 0, [0 - 2206], [40 - 60], Private, United-States, Male, Black, Not-in-family, *, Never-married, >50K
[24 - 90], [9 - 13], 0, [0 - 2206], [40 - 60], Private, United-States, Male, Black, Not-in-family, *, Never-married, <=50K
[24 - 90], [9 - 13], 0, [0 - 2206], [40 - 60], Private, United-States, Male, Black, Not-in-family, *, Never-married, <=50K
[37 - 50], [10 - 13], 0, 0, [40 - 60], self, United-States, Female, White, Not-in-family, Sales, Divorced, <=50K
[37 - 50], [10 - 13], 0, 0, [40 - 60], self, United-States, Female, White, Not-in-family, Sales, Divorced, <=50K
[37 - 50], [10 - 13], 0, 0, [40 - 60], self, United-States, Female, White, Not-in-family, Sales, Divorced, <=50K
[26 - 41], [10 - 13], 0, 0, 50, Private, Non-US, Male, White, Husband, Nontechnical, Married-civ-spouse, <=50K
[26 - 41], [10 - 13], 0, 0, 50, Private, Non-US, Male, White, Husband, Nontechnical, Married-civ-spouse, <=50K
[26 - 41], [10 - 13], 0, 0, 50, Private, Non-US, Male, White, Husband, Nontechnical, Married-civ-spouse, >50K
[25 - 35], [6 - 13], 0, 0, [40 - 50], Private, United-States, Male, White, Not-in-family, Craft-repair, Never-married, <=50K
[25 - 35], [6 - 13], 0, 0, [40 - 50], Private, United-States, Male, White, Not-in-family, Craft-repair, Never-married, <=50K
[25 - 35], [6 - 13], 0, 0, [40 - 50], Private, United-States, Male, White, Not-in-family, Craft-repair, Never-married, <=50K
[23 - 53], [1 - 13], 0, 0, [20 - 40], gov, United-States, Female, White, Not-in-family, *, Never-married, <=50K
[23 - 53], [1 - 13], 0, 0, [20 - 40], gov, United-States, Female, White, Not-in-family, *, Never-married, <=50K
[23 - 53], [1 - 13], 0, 0, [20 - 40], gov, United-States, Female, White, Not-in-family, *, Never-married, <=50K
[50 - 66], [9 - 14], [0 - 2407], 0, [45 - 98], Self-emp-not-inc, United-States, Male, White, Husband, Farming-fishing, Married-civ-spouse, <=50K
[50 - 66], [9 - 14], [0 - 2407], 0, [45 - 98], Self-emp-not-inc, United-States, Male, White, Husband, Farming-fishing, Married-civ-spouse, <=50K
[50 - 66], [9 - 14], [0 - 2407], 0, [45 - 98], Self-emp-not-inc, United-States, Male, White, Husband, Farming-fishing, Married-civ-spouse, <=50K
[29 - 66], [7 - 9], [0 - 3674], 0, 40, Private, United-States, Male, *, Not-in-family, *, Separated, <=50K
[29 - 66], [7 - 9], [0 - 3674], 0, 40, Private, United-States, Male, *, Not-in-family, *, Separated, <=50K
[29 - 66], [7 - 9], [0 - 3674], 0, 40, Private, United-States, Male, *, Not-in-family, *, Separated, <=50K
[25 - 29], [10 - 13], 0, 0, [40 - 60], Private, United-States, Male, White, Not-in-family, Adm-clerical, Never-married, <=50K
[25 - 29], [10 - 13], 0, 0, [40 - 60], Private, United-States, Male, White, Not-in-family, Adm-clerical, Never-married, <=50K
[25 - 29], [10 - 13], 0, 0, [40 - 60], Private, United-States, Male, White, Not-in-family, Adm-clerical, Never-married, <=50K
[30 - 36], [9 - 13], 0, 0, 40, Private, United-States, Female, *, *, Technical, Divorced, <=50K
[30 - 36], [9 - 13], 0, 0, 40, Private, United-States, Female, *, *, Technical, Divorced, <=50K
[30 - 36], [9 - 13], 0, 0, 40, Private, United-States, Female, *, *, Technical, Divorced, <=50K
[27 - 59], [9 - 13], [0 - 3411], 0, 40, State-gov, United-States, Male, White, Husband, Other, Married-civ-spouse, <=50K
[27 - 59], [9 - 13], [0 - 3411], 0, 40, State-gov, United-States, Male, White, Husband, Other, Married-civ-spouse, >50K
[27 - 59], [9 - 13], [0 - 3411], 0, 40, State-gov, United-States, Male, White, Husband, Other, Married-civ-spouse, <=50K
[20 - 34], 9, 0, 0, [30 - 40], Private, United-States, Male, White, Own-child, Transport-moving, Never-married, <=50K
[20 - 34], 9, 0, 0, [30 - 40], Private, United-States, Male, White, Own-child, Transport-moving, Never-married, <=50K
[20 - 34], 9, 0, 0, [30 - 40], Private, United-States, Male, White, Own-child, Transport-moving, Never-married, <=50K
[36 - 41], [13 - 15], 0, 0, [40 - 60], Private, United-States, Male, White, Husband, Prof-specialty, Married-civ-spouse, >50K
[36 - 41], [13 - 15], 0, 0, [40 - 60], Private, United-States, Male, White, Husband, Prof-specialty, Married-civ-spouse, >50K
[36 - 41], [13 - 15], 0, 0, [40 - 60], Private, United-States, Male, White, Husband, Prof-specialty, Married-civ-spouse, <=50K
[30 - 58], [6 - 12], 0, 0, [8 - 25], self, United-States, Female, White, Wife, Other-service, Married-civ-spouse, <=50K
[30 - 58], [6 - 12], 0, 0, [8 - 25], self, United-States, Female, White, Wife, Other-service, Married-civ-spouse, >50K
[30 - 58], [6 - 12], 0, 0, [8 - 25], self, United-States, Female, White, Wife, Other-service, Married-civ-spouse, <=50K
[35 - 58], [9 - 13], [0 - 7688], 0, [40 - 45], Private, United-States, Male, White, Husband, Adm-clerical, Married-civ-spouse, >50K
[35 - 58], [9 - 13], [0 - 7688], 0, [40 - 45], Private, United-States, Male, White, Husband, Adm-clerical, Married-civ-spouse, >50K
[35 - 58], [9 - 13], [0 - 7688], 0, [40 - 45], Private, United-States, Male, White, Husband, Adm-clerical, Married-civ-spouse, >50K
[30 - 42], [10 - 13], 0, 0, 40, Private, United-States, Female, Black, Wife, Adm-clerical, Married-civ-spouse, <=50K
[30 - 42], [10 - 13], 0, 0, 40, Private, United-States, Female, Black, Wife, Adm-clerical, Married-civ-spouse, >50K
[30 - 42], [10 - 13], 0, 0, 40, Private, United-States, Female, Black, Wife, Adm-clerical, Married-civ-spouse, <=50K
[51 - 59], [4 - 9], [0 - 594], 0, [20 - 40], *, United-States, Female, Black, Unmarried, Other-service, Widowed, <=50K
[51 - 59], [4 - 9], [0 - 594], 0, [20 - 40], *, United-States, Female, Black, Unmarried, Other-service, Widowed, <=50K
[51 - 59], [4 - 9], [0 - 594], 0, [20 - 40], *, United-States, Female, Black, Unmarried, Other-service, Widowed, <=50K
[19 - 29], [9 - 14], 0, 0, [35 - 48], Local-gov, United-States, Male, White, Own-child, *, Never-married, <=50K
[19 - 29], [9 - 14], 0, 0, [35 - 48], Local-gov, United-States, Male, White, Own-child, *, Never-married, <=50K
[19 - 29], [9 - 14], 0, 0, [35 - 48], Local-gov, United-States, Male, White, Own-child, *, Never-married, <=50K
[30 - 66], [9 - 10], [0 - 2050], 0, [20 - 60], Private, United-States, Male, White, Not-in-family, Transport-moving, Never-married, <=50K
[30 - 66], [9 - 10], [0 - 2050], 0, [20 - 60], Private, United-States, Male, White, Not-in-family, Transport-moving, Never-married, <=50K
[30 - 66], [9 - 10], [0 - 2050], 0, [20 - 60], Private, United-States, Male, White, Not-in-family, Transport-moving, Never-married, <=50K
[37 - 51], [9 - 13], 0, [0 - 2415], [40 - 75], self, Non-US, Male, Asian-Pac-Islander, Husband, *, Married-civ-spouse, >50K
[37 - 51], [9 - 13], 0, [0 - 2415], [40 - 75], self, Non-US, Male, Asian-Pac-Islander, Husband, *, Married-civ-spouse, >50K
[37 - 51], [9 - 13], 0, [0 - 2415], [40 - 75], self, Non-US, Male, Asian-Pac-Islander, Husband, *, Married-civ-spouse, >50K
[32 - 62], 9, 0, 0, [24 - 35], Private, United-States, Female, White, Not-in-family, Other-service, *, <=50K
[32 - 62], 9, 0, 0, [24 - 35], Private, United-States, Female, White, Not-in-family, Other-service, *, <=50K
[32 - 62], 9, 0, 0, [24 - 35], Private, United-States, Female, White, Not-in-family, Other-service, *, <=50K
[29 - 45], [7 - 12], 0, 0, [40 - 60], Private, United-States, Female, White, Not-in-family, Exec-managerial, *, <=50K
[29 - 45], [7 - 12], 0, 0, [40 - 60], Private, United-States, Female, White, Not-in-family, Exec-managerial, *, <=50K
[29 - 45], [7 - 12], 0, 0, [40 - 60], Private, United-States, Female, White, Not-in-family, Exec-managerial, *, <=50K
[28 - 50], [4 - 9], 0, 0, [40 - 50], Private, United-States, Male, White, Not-in-family, Craft-repair, Divorced, <=50K
[28 - 50], [4 - 9], 0, 0, [40 - 50], Private, United-States, Male, White, Not-in-family, Craft-repair, Divorced, >50K
[28 - 50], [4 - 9], 0, 0, [40 - 50], Private, United-States, Male, White, Not-in-family, Craft-repair, Divorced, <=50K
33, [9 - 10], 0, 0, [40 - 60], Private, United-States, Female, White, Wife, Craft-repair, Married-civ-spouse, >50K
33, [9 - 10], 0, 0, [40 - 60], Private, United-States, Female, White, Wife, Craft-repair, Married-civ-spouse, <=50K
33, [9 - 10], 0, 0, [40 - 60], Private, United-States, Female, White, Wife, Craft-repair, Married-civ-spouse, <=50K
[33 - 61], [9 - 13], 0, 0, 40, Private, United-States, Male, White, Husband, Exec-managerial, Married-civ-spouse, >50K
[33 - 61], [9 - 13], 0, 0, 40, Private, United-States, Male, White, Husband, Exec-managerial, Married-civ-spouse, >50K
[33 - 61], [9 - 13], 0, 0, 40, Private, United-States, Male, White, Husband, Exec-managerial, Married-civ-spouse, >50K
[38 - 44], [10 - 11], [0 - 7298], [0 - 1485], [40 - 50], Private, United-States, Male, White, Husband, Craft-repair, Married-civ-spouse, >50K
[38 - 44], [10 - 11], [0 - 7298], [0 - 1485], [40 - 50], Private, United-States, Male, White, Husband, Craft-repair, Married-civ-spouse, <=50K
[38 - 44], [10 - 11], [0 - 7298], [0 - 1485], [40 - 50], Private, United-States, Male, White, Husband, Craft-repair, Married-civ-spouse, >50K
[24 - 34], [9 - 13], [0 - 7298], 0, [16 - 48], Private, United-States, Female, White, Wife, Technical, Married-civ-spouse, >50K
[24 - 34], [9 - 13], [0 - 7298], 0, [16 - 48], Private, United-States, Female, White, Wife, Technical, Married-civ-spouse, >50K
[24 - 34], [9 - 13], [0 - 7298], 0, [16 - 48], Private, United-States, Female, White, Wife, Technical, Married-civ-spouse, <=50K
[22 - 27], [10 - 16], 0, 0, [15 - 70], Private, *, Female, White, Not-in-family, Prof-specialty, Never-married, <=50K
[22 - 27], [10 - 16], 0, 0, [15 - 70], Private, *, Female, White, Not-in-family, Prof-specialty, Never-married, <=50K
[22 - 27], [10 - 16], 0, 0, [15 - 70], Private, *, Female, White, Not-in-family, Prof-specialty, Never-married, <=50K
[42 - 48], [10 - 14], [0 - 5178], 0, [35 - 40], Local-gov, United-States, Male, White, Husband, Technical, Married-civ-spouse, >50K
[42 - 48], [10 - 14], [0 - 5178], 0, [35 - 40], Local-gov, United-States, Male, White, Husband, Technical, Married-civ-spouse, <=50K
[42 - 48], [10 - 14], [0 - 5178], 0, [35 - 40], Local-gov, United-States, Male, White, Husband, Technical, Married-civ-spouse, >50K
[34 - 36], [9 - 12], 0, 0, [30 - 45], Private, United-States, Female, Black, Unmarried, *, Divorced, <=50K
[34 - 36], [9 - 12], 0, 0, [30 - 45], Private, United-States, Female, Black, Unmarried, *, Divorced, <=50K
[34 - 36], [9 - 12], 0, 0, [30 - 45], Private, United-States, Female, Black, Unmarried, *, Divorced, <=50K
[31 - 60], [9 - 14], [0 - 6849], 0, [40 - 60], Private, United-States, Female, White, Not-in-family, Prof-specialty, Divorced, <=50K
[31 - 60], [9 - 14], [0 - 6849], 0, [40 - 60], Private, United-States, Female, White, Not-in-family, Prof-specialty, Divorced, <=50K
[31 - 60], [9 - 14], [0 - 6849], 0, [40 - 60], Private, United-States, Female, White, Not-in-family, Prof-specialty, Divorced, <=50K
[55 - 57], [9 - 14], [0 - 15024], 0, [40 - 45], *, United-States, Male, White, Husband, Sales, Married-civ-spouse, >50K
[55 - 57], [9 - 14], [0 - 15024], 0, [40 - 45], *, United-States, Male, White, Husband, Sales, Married-civ-spouse, >50K
[55 - 57], [9 - 14], [0 - 15024], 0, [40 - 45], *, United-States, Male, White, Husband, Sales, Married-civ-spouse, <=50K
